"Relative Time","Run"
"00:00","1"
"00:16","2"
"00:32","4"
"00:48","5"
"01:04","6"
"01:20","7"
"01:36","8"
"04:16","7"
"04:32","5"
"09:04","4"
"09:36","2"
"09:52","1"
"10:08","0"
"10:24","0"
